id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_503007,503007,5030,state_co_905,rural,"","Agua Linda- Alto Casibare-  Argentina-  Brisas del Manacacias-  Canada-  Candilejas-  Casibare-  Chinata-  El Cairo-  El Santuario-  Esmeralda-  Esperanza-  Fundo Nuevo-  Gabanes-  Jose Maria-  Laureles-  Llano Grande-  Morichito-  Palmeras-  Puerto llera",True
postal_272017,272017,2720,state_co_774,rural,"","",True
postal_150617,150617,1506,state_co_401,rural,"","Carichana- Centro-  hormezaque-  Pedregal-  San Isidro",True
postal_973008,973008,9730,state_co_1311,rural,"","Puerto Santander",True
postal_276078,276078,2760,state_co_773,rural,"","",True
postal_856017,856017,8560,state_co_1253,rural,"","Alto Cunama- Altos De Cupiagua-  Cachiza-  Cagui Milagro-  Cunamá-  Cupiagua-  El Paraiso-  El Triunfo-  Guamal-  Jordán-  La Florida-  La Vegana-  Laureles-  Manoguia-  Monterralo-  Peñalta-  Plan Cunama-  Retiro Milagro-  San Ignacia-  Unete-  Volcan Bl",True
postal_052050,052050,0520,state_co_312,urban,"","",True
postal_733578,733578,7335,state_co_1194,rural,"","Coya- El Recinto-  Villa Colombia",True
postal_057040,057040,0570,state_co_250,urban,"","",True
postal_170003,170003,1700,state_co_518,urban,"Alta Suiza- Baja Suiza- Caserío La Enea- Cerros de La Alhambra- Colseguros- El Trébol- Juanchito- La Enea- La Sultana- La Toscana- Lusitania- Maltería- Milán- Residencias Manizales- San Marcel","Buenavista",True
postal_682061,682061,6820,state_co_1056,urban,"","",True
postal_054848,054848,0548,state_co_273,rural,"","Aguacatal- Alejandria-  Cabilditos-  Casco Urbano-  Damas-  El Bosque-  El Carmelo-  El Condor-  El Guamito (Cabecera Municipal)-  El Limon-  El Piñal-  El Sandal-  El Verdal-  El Zafiro-  Guadualito-  Guayaquil-  La Argentina-  La Española-  La Hermosa-",True
postal_414027,414027,4140,state_co_812,rural,"Las Colinas","Alejandría- Alto Fátima-  El Mesón-  Fátima-  La Esmeralda-  La Florida-  Las Palmitas-  Los Pinos-  Los Sauces-  Nueva Floresta-  Providencia-  San Miguel-  Sector Filo Rico",True
postal_762037,762037,7620,state_co_1239,rural,"","Cabecera Municipal- El Bosque-  El Placer-  La India-  La Montaña-  La Palmera-  La Plata",True
postal_545557,545557,5455,state_co_981,rural,"","El Alto- Nuevo Mundo-  Provincia-  San Juana-  San Pablo-  Santa Rita-  Santa Rita",True
postal_151287,151287,1512,state_co_427,rural,"","",True
postal_154407,154407,1544,state_co_507,rural,"","Centro- El Tablon-  Gachazunga-  Hatillo-  Manga",True
