id,code,name
lavish_hr_payroll.cie10_g21,G21,Parkinsonismo secundario
lavish_hr_payroll.cie10_g22,G22,Parkinsonismo en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g23,G23,Otras enfermedades degenerativas de los ganglios basales
lavish_hr_payroll.cie10_g24,G24,Distonia
lavish_hr_payroll.cie10_g25,G25,Otros trastornos extrapiramidales y del movimiento
lavish_hr_payroll.cie10_g26,G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g30,G30,Enfermedad de Alzheimer
lavish_hr_payroll.cie10_g31,G31,Otras enfermedades degenerativas del sistema nervioso no clasificadas en otra parte
lavish_hr_payroll.cie10_g32,G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g35,G35,Esclerosis multiple
lavish_hr_payroll.cie10_g36,G36,Otras desmielinizaciones agudas diseminadas
lavish_hr_payroll.cie10_g37,G37,Otras enfermedades desmielinizantes del sistema nervioso central
lavish_hr_payroll.cie10_g40,G40,Epilepsia
lavish_hr_payroll.cie10_g41,G41,Estado de mal epileptico
lavish_hr_payroll.cie10_g43,G43,Migrana
lavish_hr_payroll.cie10_g44,G44,Otros sindromes de cefalea
lavish_hr_payroll.cie10_g45,G45,Ataques de isquemia cerebral transitoria y sindromes afines
lavish_hr_payroll.cie10_g46,G46,Sindromes vasculares encefalicos en enfermedades cerebrovasculares
lavish_hr_payroll.cie10_g47,G47,Trastornos del sueno
lavish_hr_payroll.cie10_g50,G50,Trastornos del nervio trigemino
lavish_hr_payroll.cie10_g51,G51,Trastornos del nervio facial
lavish_hr_payroll.cie10_g52,G52,Trastornos de otros nervios craneales
lavish_hr_payroll.cie10_g53,G53,Trastornos de los nervios craneales en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g54,G54,Trastornos de las raices y de los plexos nerviosos
lavish_hr_payroll.cie10_g55,G55,Compresiones de las raices y de los plexos nerviosos en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g56,G56,Mononeuropatias del miembro superior
lavish_hr_payroll.cie10_g57,G57,Mononeuropatias del miembro inferior
lavish_hr_payroll.cie10_g58,G58,Otras mononeuropatias
lavish_hr_payroll.cie10_g59,G59,Mononeuropatia en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g60,G60,Neuropatia hereditaria e idiopatica
lavish_hr_payroll.cie10_g61,G61,Polineuropatia inflamatoria
lavish_hr_payroll.cie10_g62,G62,Otras polineuropatias
lavish_hr_payroll.cie10_g63,G63,Polineuropatia en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g64,G64,Otros trastornos del sistema nervioso periferico
lavish_hr_payroll.cie10_g70,G70,Miastenia gravis y otros trastornos neuromusculares
lavish_hr_payroll.cie10_g71,G71,Trastornos primarios de los musculos
lavish_hr_payroll.cie10_g72,G72,Otras miopatias
lavish_hr_payroll.cie10_g73,G73,Trastornos del musculo y de la union neuromuscular en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g80,G80,Paralisis cerebral infantil
lavish_hr_payroll.cie10_g81,G81,Hemiplejia
lavish_hr_payroll.cie10_g82,G82,Paraplejia y cuadriplejia
lavish_hr_payroll.cie10_g83,G83,Otros sindromes paraliticos
lavish_hr_payroll.cie10_g90,G90,Trastornos del sistema nervioso autonomo
lavish_hr_payroll.cie10_g91,G91,Hidrocefalo
lavish_hr_payroll.cie10_g92,G92,Encefalopatia toxica
lavish_hr_payroll.cie10_g93,G93,Otros trastornos del encefalo
lavish_hr_payroll.cie10_g94,G94,Otros trastornos del encefalo en enfermedades clasificadas en otra parte
lavish_hr_payroll.cie10_g95,G95,Otras enfermedades de la medula espinal
lavish_hr_payroll.cie10_g96,G96,Otros trastornos del sistema nervioso central
lavish_hr_payroll.cie10_g97,G97,Trastornos del sistema nervioso consecutivos a procedimientos no clasificados en otra parte
lavish_hr_payroll.cie10_g98,G98,Otros trastornos del sistema nervioso no clasificados en otra parte
